"03.3.2014","123,00","123,00","123,00","123,00","2,50","833","102.459","102.459"
"11.5.2018","126,00","126,00","126,00","126,00","0,00","1.052","132.552","132.552"
"30.1.2018","126,00","126,00","126,00","126,00","2,44","1.172","147.672","147.672"
"17.12.2021","309,00","309,00","309,00","309,00","0,00","100","30.900","30.900"
"16.12.2021","309,00","309,00","309,00","309,00","0,00","1.725","533.025","533.025"
"13.12.2021","309,00","309,00","309,00","309,00","0,00","1.196","369.564","369.564"
"16.3.2021","309,00","309,00","309,00","309,00","145,24","1.391","429.819","429.819"
"10.8.2023","309,00","309,00","309,00","309,00","0,00","1.000","309.000","309.000"
"03.7.2023","309,00","309,00","309,00","309,00","0,00","1.000","309.000","309.000"
"06.6.2023","309,00","309,00","309,00","309,00","0,00","923","285.207","285.207"
"25.4.2023","309,00","309,00","309,00","309,00","0,00","2.477","765.393","765.393"
"12.6.2024","309,00","309,00","309,00","309,00","0,00","297","91.773","91.773"
